Date,HSN Code,Description,Origin,Destination,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer,Data Source,Quantity,Original Unit Price (USD)
24-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,626931.92,105000.0,,3.0,33.0,True,Real (Market),1,626931.92
23-Sep-24,85042320.0,"MANUFACTURING -Hitachi Energy India Ltd, Power Transformers. TAX INV NO: 242401000746 DATED25.05.2024,GST NO-24AARCA9513E1ZN",India,Tanzania,,,,,,True,Real (Market),1,
23-Sep-24,85042320.0,"60 MVA, 132/33 KV POWER TRANSFORMER Transformer Serial no 1LIN23600100065",India,Tanzania,692158.51,60000.0,,132.0,33.0,True,Real (Market),1,692158.51
23-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,626931.92,105000.0,,3.0,33.0,True,Real (Market),1,626931.92
23-Sep-24,85042310000.0,SPARE PARTS FOR CERAMIC MACHINERY- 000400 CC08010049 TRANSFORMER BRAND BRAHMA QTY 1 PC,Italy,Philippines,59.3,,,,,True,Real (Market),1,59.3
23-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,626931.92,105000.0,,3.0,33.0,True,Real (Market),1,626931.92
20-Sep-24,85042310.0,"ELECTRICAL TRANSFORMERS, 15MVA, 33/11.5KV, DYN11,COPPER SR NO. 5273503 AS PER DOCUMENT",India,United Kingdom,290741.62,15000.0,,33.0,11.5,True,Real (Market),1,290741.62
19-Sep-24,85042320.0,ELECTRICAL ITEMS -- 1500 VA TRANSFORMER,India,Maldives,140.44,,,,,True,Real (Market),1,140.44
19-Sep-24,85042322000.0,1 SET POWER TRANSFORMER S-25000-69-13.8 kVRated Capacity 25000kVAVoltage Ration 69-13.8 kV,China,Philippines,136500.0,25000.0,,,,True,Real (Market),1,136500.0
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT150-5A CL5P10 15VA,Malaysia,Indonesia,36.326,,,,,True,Real (Market),30,1089.78
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT600-5A CL5P10 15VA,Malaysia,Indonesia,19.154666666666667,,,,,True,Real (Market),15,287.32
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT5000-5A CL 5P10 15VA ID125,Malaysia,Indonesia,32.338,,,,,True,Real (Market),25,808.45
17-Sep-24,85042329.0,"AUTO TRANSFORMER - AT 415V 3P , 37.5KW-50HP 4 TAPPING",Malaysia,Indonesia,259.28,,,,,True,Real (Market),1,259.28
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT200-5A CL5P10 15VA,Malaysia,Indonesia,37.245,,,,,True,Real (Market),8,297.96
17-Sep-24,85042329.0,CURRENT TRANSFORMER - MCT2500-5A CL1 15VA,Malaysia,Indonesia,15.399000000000001,,,,,True,Real (Market),10,153.99
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT 100-5A 5P10 5VA,Malaysia,Indonesia,18.3902,,,,,True,Real (Market),50,919.51
17-Sep-24,85042329000.0,STC 48 PKGS OF 2 UNITS POWER TRANSFORMER 55 68 75MVA 110KV WITH PARTS AND ACCESORIES SIEMENS ENERGY,China,Philippines,20271.881188118812,75000.0,,,,True,Real (Market),101,2047460.0
17-Sep-24,85042329000.0,"375 MVA , 240KV±9*1.25%-16.5KV STEP UP GENERATOR TRANSFORMER CKD IN 22 PACKAGES",China,Philippines,1653400.0,375000.0,,,,True,Real (Market),1,1653400.0
17-Sep-24,85042329.0,CURRENT TRANSFORMER - MCT1000-5A CL0.5 15VA,Malaysia,Indonesia,16.551199999999998,,,,,True,Real (Market),50,827.56
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT4000-5A CL5P10 15VA ID125,Malaysia,Indonesia,28.7375,,,,,True,Real (Market),20,574.75
17-Sep-24,85042320.0,"MANUFACTURING -Hitachi Energy India Ltd, Power Transformers. TAX INV NO: 242401000746 DATED25.05.2024,GST NO-24AARCA9513E1ZN",India,Tanzania,,,,,,True,Real (Market),1,
17-Sep-24,85042320.0,"60 MVA, 132/33 KV POWER TRANSFORMER Transformer Serial no 1LIN23600100065",India,Tanzania,692158.51,60000.0,,132.0,33.0,True,Real (Market),1,692158.51
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT 150-5A 5P10 5VA,Malaysia,Indonesia,18.39,,,,,True,Real (Market),20,367.8
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT1000-5A CL5P10 15VA,Malaysia,Indonesia,20.30666666666667,,,,,True,Real (Market),30,609.2
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT800-5A CL5P10 15VA,Malaysia,Indonesia,17.625675675675677,,,,,True,Real (Market),74,1304.3
17-Sep-24,85042329.0,CURRENT TRANSFORMER - PCT250-5A CL5P10 15VA,Malaysia,Indonesia,33.035,,,,,True,Real (Market),2,66.07
17-Sep-24,85042329.0,ISOLATING TRANSFORMER - MED STD-LINE 6.3KVA ART NO.:71135-00,Czech Republic,Indonesia,1736.32,6.3,,,,True,Real (Market),1,1736.32
16-Sep-24,85042310.0,"POWER TRANSFORMER 10/12,5 MVA, 67/13.2 KV Freight DOCUMENT no.652000030 valueincld in this DOCUMENT of USD 4700",India,Philippines,203959.2,5000.0,,67.0,13.2,True,Real (Market),1,203959.2
30-Sep-24,85042329000.0,TOROIDAL TRANSFORMER,China,Philippines,17.97992957746479,,,,,True,Real (Market),284,5106.3
19-Sep-24,85042322000.0,1 SET POWER TRANSFORMER S-25000-69-13.8 kVRated Capacity 25000kVAVoltage Ration 69-13.8 kV,China,Philippines,136500.0,25000.0,,,,True,Real (Market),1,136500.0
17-Sep-24,85042329000.0,STC 48 PKGS OF 2 UNITS POWER TRANSFORMER 55 68 75MVA 110KV WITH PARTS AND ACCESORIES SIEMENS ENERGY,China,Philippines,20271.881188118812,75000.0,,,,True,Real (Market),101,2047460.0
17-Sep-24,85042329000.0,"375 MVA , 240KV±9*1.25%-16.5KV STEP UP GENERATOR TRANSFORMER CKD IN 22 PACKAGES",China,Philippines,1653400.0,375000.0,,,,True,Real (Market),1,1653400.0
14-Sep-24,85042329.0,POWER TRANSFORMER,China,Indonesia,368154.81,,,,,True,Real (Market),2,736309.62
11-Sep-24,85042310000.0,1 SET TRANSFORMER SF-12500-67-13.2,China,Philippines,89600.0,,,,,True,Real (Market),1,89600.0
9-Sep-24,85042390.0,TRANSFORMER,China,Bangladesh,30.22,,,,,True,Real (Market),3,90.66
9-Sep-24,85042322000.0,"CHINT , 20-25MVA POWER TRANSFORMER , QTY: 1 SET",China,Philippines,325315.2,25000.0,,,,True,Real (Market),1,325315.2
9-Sep-24,85042390.0,Transformer (SPARE PARTS For Printing Machine),China,Bangladesh,120.91,,,,,True,Real (Market),1,120.91
6-Sep-24,85042321000.0,1SET 16-20 MVA OIL-IMMERSED POWER TRANSFORMER 69-13.8KV BRAND: CHINT,China,Philippines,156730.0,20000.0,,,,True,Real (Market),1,156730.0
6-Sep-24,85042390.0,"Electrical transformers , static converters (for example , rectifiers) and inductors. , Having a power handling capacity exceeding 10 , 000 kVA: , Other",China,Ethiopia,428214.755,0.0,,,,True,Real (Market),2,856429.51
5-Sep-24,85042310.0,"400-132-33KV , 225-325 MVA , 3-PHASE POWER TRANSFORMER , HV BUSHING , LV BUSHING , RADIATO",China,Bangladesh,2793695.0,325000.0,,,,True,Real (Market),2,5587390.0
4-Sep-24,85042321.0,ELECTRIC FURNACE TRANSFORMER,China,Indonesia,247057.5,,,,,True,Real (Market),2,494115.0
4-Sep-24,850423000000.0,MAIN BODY POWER TRANSFORMER WITH ITS ACCESSORIES,China,Tanzania,589121.35,,,,,True,Real (Market),1,589121.35
